fixture_id,competition_id,kickoff_time_utc,home_team_name,away_team_name,actual_home_goals,actual_away_goals,prediction_time_utc,model_version,feature_version,calibration_version,market_type,outcome,probability,decimal_odds,market_probability,model_edge,data_quality_score,model_confidence_score,calibration_score,upset_protection_score,odds_stability_score,volatility_penalty,line,side,metadata_json,fixture_metadata_json
euro2024_group_rom_ukr,UEFA_EURO,2024-06-17T13:00:00Z,Romania,Ukraine,3,0,2024-06-17T09:00:00Z,poisson-v3.1-historical-group-upset,features-v3.1-historical-group-upset,calibration-v3.1-historical-group-upset,1x2,home_win,0.27,3.20,0.31,,86,0.70,0.73,0.82,0.50,0.18,,,"{""target_outcome"":""home_win"",""upset_score"":0.82}",
euro2024_group_rom_ukr,UEFA_EURO,2024-06-17T13:00:00Z,Romania,Ukraine,3,0,2024-06-17T09:00:00Z,poisson-v3.1-historical-group-upset,features-v3.1-historical-group-upset,calibration-v3.1-historical-group-upset,1x2,draw,0.28,3.25,0.31,,86,0.70,0.73,0.44,0.56,0.12,,,,
euro2024_group_rom_ukr,UEFA_EURO,2024-06-17T13:00:00Z,Romania,Ukraine,3,0,2024-06-17T09:00:00Z,poisson-v3.1-historical-group-upset,features-v3.1-historical-group-upset,calibration-v3.1-historical-group-upset,1x2,away_win,0.45,2.25,0.44,,86,0.70,0.73,0.42,0.52,0.16,,,"{""favorite_fragility_score"":0.62}",
euro2024_group_bel_svk,UEFA_EURO,2024-06-17T16:00:00Z,Belgium,Slovakia,0,1,2024-06-17T09:00:00Z,poisson-v3.1-historical-group-upset,features-v3.1-historical-group-upset,calibration-v3.1-historical-group-upset,1x2,home_win,0.64,1.55,0.65,,89,0.78,0.75,0.10,0.48,0.22,,,"{""favorite_fragility_score"":0.74}",
euro2024_group_bel_svk,UEFA_EURO,2024-06-17T16:00:00Z,Belgium,Slovakia,0,1,2024-06-17T09:00:00Z,poisson-v3.1-historical-group-upset,features-v3.1-historical-group-upset,calibration-v3.1-historical-group-upset,1x2,draw,0.20,4.10,0.24,,89,0.78,0.75,0.52,0.54,0.14,,,,
euro2024_group_bel_svk,UEFA_EURO,2024-06-17T16:00:00Z,Belgium,Slovakia,0,1,2024-06-17T09:00:00Z,poisson-v3.1-historical-group-upset,features-v3.1-historical-group-upset,calibration-v3.1-historical-group-upset,1x2,away_win,0.16,7.00,0.14,,89,0.78,0.75,0.90,0.42,0.25,,,"{""target_outcome"":""away_win"",""upset_score"":0.90}",
euro2024_group_tur_geo,UEFA_EURO,2024-06-18T16:00:00Z,Turkiye,Georgia,3,1,2024-06-17T09:00:00Z,poisson-v3.1-historical-group-upset,features-v3.1-historical-group-upset,calibration-v3.1-historical-group-upset,1x2,home_win,0.52,1.88,0.53,,84,0.72,0.74,0.12,0.70,0.04,,,,
euro2024_group_tur_geo,UEFA_EURO,2024-06-18T16:00:00Z,Turkiye,Georgia,3,1,2024-06-17T09:00:00Z,poisson-v3.1-historical-group-upset,features-v3.1-historical-group-upset,calibration-v3.1-historical-group-upset,1x2,draw,0.25,3.75,0.27,,84,0.72,0.74,0.34,0.64,0.08,,,,
euro2024_group_tur_geo,UEFA_EURO,2024-06-18T16:00:00Z,Turkiye,Georgia,3,1,2024-06-17T09:00:00Z,poisson-v3.1-historical-group-upset,features-v3.1-historical-group-upset,calibration-v3.1-historical-group-upset,1x2,away_win,0.23,4.40,0.23,,84,0.72,0.74,0.50,0.58,0.11,,,,
euro2024_group_por_cze,UEFA_EURO,2024-06-18T19:00:00Z,Portugal,Czechia,2,1,2024-06-17T09:00:00Z,poisson-v3.1-historical-group-upset,features-v3.1-historical-group-upset,calibration-v3.1-historical-group-upset,1x2,home_win,0.65,1.45,0.69,,91,0.82,0.80,0.02,0.76,0.04,,,,
euro2024_group_por_cze,UEFA_EURO,2024-06-18T19:00:00Z,Portugal,Czechia,2,1,2024-06-17T09:00:00Z,poisson-v3.1-historical-group-upset,features-v3.1-historical-group-upset,calibration-v3.1-historical-group-upset,1x2,draw,0.22,4.30,0.23,,91,0.82,0.80,0.28,0.72,0.05,,,,
euro2024_group_por_cze,UEFA_EURO,2024-06-18T19:00:00Z,Portugal,Czechia,2,1,2024-06-17T09:00:00Z,poisson-v3.1-historical-group-upset,features-v3.1-historical-group-upset,calibration-v3.1-historical-group-upset,1x2,away_win,0.13,7.20,0.14,,91,0.82,0.80,0.36,0.68,0.08,,,,
euro2024_group_den_eng,UEFA_EURO,2024-06-20T16:00:00Z,Denmark,England,1,1,2024-06-17T09:00:00Z,poisson-v3.1-historical-group-upset,features-v3.1-historical-group-upset,calibration-v3.1-historical-group-upset,1x2,home_win,0.23,4.30,0.23,,87,0.76,0.75,0.48,0.60,0.10,,,,
euro2024_group_den_eng,UEFA_EURO,2024-06-20T16:00:00Z,Denmark,England,1,1,2024-06-17T09:00:00Z,poisson-v3.1-historical-group-upset,features-v3.1-historical-group-upset,calibration-v3.1-historical-group-upset,1x2,draw,0.29,3.25,0.31,,87,0.76,0.75,0.68,0.58,0.12,,,"{""target_outcome"":""draw"",""upset_score"":0.68}",
euro2024_group_den_eng,UEFA_EURO,2024-06-20T16:00:00Z,Denmark,England,1,1,2024-06-17T09:00:00Z,poisson-v3.1-historical-group-upset,features-v3.1-historical-group-upset,calibration-v3.1-historical-group-upset,1x2,away_win,0.48,1.95,0.51,,87,0.76,0.75,0.24,0.52,0.16,,,"{""favorite_fragility_score"":0.58}",
euro2024_group_ned_aut,UEFA_EURO,2024-06-25T16:00:00Z,Netherlands,Austria,2,3,2024-06-17T09:00:00Z,poisson-v3.1-historical-group-upset,features-v3.1-historical-group-upset,calibration-v3.1-historical-group-upset,1x2,home_win,0.45,2.20,0.45,,86,0.74,0.76,0.28,0.56,0.13,,,"{""favorite_fragility_score"":0.61}",
euro2024_group_ned_aut,UEFA_EURO,2024-06-25T16:00:00Z,Netherlands,Austria,2,3,2024-06-17T09:00:00Z,poisson-v3.1-historical-group-upset,features-v3.1-historical-group-upset,calibration-v3.1-historical-group-upset,1x2,draw,0.27,3.55,0.28,,86,0.74,0.76,0.42,0.60,0.09,,,,
euro2024_group_ned_aut,UEFA_EURO,2024-06-25T16:00:00Z,Netherlands,Austria,2,3,2024-06-17T09:00:00Z,poisson-v3.1-historical-group-upset,features-v3.1-historical-group-upset,calibration-v3.1-historical-group-upset,1x2,away_win,0.28,3.25,0.31,,86,0.74,0.76,0.74,0.54,0.14,,,"{""target_outcome"":""away_win"",""upset_score"":0.74}",
euro2024_group_geo_por,UEFA_EURO,2024-06-26T19:00:00Z,Georgia,Portugal,2,0,2024-06-17T09:00:00Z,poisson-v3.1-historical-group-upset,features-v3.1-historical-group-upset,calibration-v3.1-historical-group-upset,1x2,home_win,0.18,8.50,0.12,,83,0.68,0.72,0.92,0.38,0.28,,,"{""target_outcome"":""home_win"",""upset_score"":0.92}",
euro2024_group_geo_por,UEFA_EURO,2024-06-26T19:00:00Z,Georgia,Portugal,2,0,2024-06-17T09:00:00Z,poisson-v3.1-historical-group-upset,features-v3.1-historical-group-upset,calibration-v3.1-historical-group-upset,1x2,draw,0.24,4.50,0.22,,83,0.68,0.72,0.50,0.44,0.16,,,,
euro2024_group_geo_por,UEFA_EURO,2024-06-26T19:00:00Z,Georgia,Portugal,2,0,2024-06-17T09:00:00Z,poisson-v3.1-historical-group-upset,features-v3.1-historical-group-upset,calibration-v3.1-historical-group-upset,1x2,away_win,0.58,1.42,0.70,,83,0.68,0.72,0.08,0.36,0.30,,,"{""favorite_fragility_score"":0.80}",
